$0;1776059370638195069;1.15-SNAPSHOT;KIEKER;2c60425710cd;1;false;0;NANOSECONDS;0
$1;1776059499735784436;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639241;1776059499723551084;1776059499735763451;2c60425710cd;5;1
$1;1776059499738566914;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639241;1776059499663079761;1776059499738549877;2c60425710cd;0;0
$1;1776059500000600013;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639242;1776059499972723628;1776059500000562631;2c60425710cd;1;1
$1;1776059500023360257;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639242;1776059500001289728;1776059500023321885;2c60425710cd;2;1
$1;1776059500039837946;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639242;1776059500023473237;1776059500039803164;2c60425710cd;5;1
$1;1776059500042509242;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639242;1776059499972658451;1776059500042486857;2c60425710cd;0;0
$1;1776059500297591479;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639243;1776059500277177649;1776059500297561599;2c60425710cd;1;1
$1;1776059500336135820;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639243;1776059500298182513;1776059500336110080;2c60425710cd;2;1
$1;1776059500355390343;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5157184523292639243;1776059500336220882;1776059500355361330;2c60425710cd;5;1
$1;1776059500357313293;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5157184523292639243;1776059500277147782;1776059500357300882;2c60425710cd;0;0
$1;1776059500507476370;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639245;1776059500488606092;1776059500507449726;2c60425710cd;1;1
$1;1776059500508313182;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5157184523292639244;1776059500488590287;1776059500508297729;2c60425710cd;1;1
$1;1776059500533156747;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5157184523292639244;1776059500508356818;1776059500533122750;2c60425710cd;2;1
