$0;1776060090389472803;1.15-SNAPSHOT;KIEKER;efc6074ddc60;1;false;0;NANOSECONDS;0
$1;1776060218227137767;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715084;1776060218188170019;1776060218227097752;efc6074ddc60;5;1
$1;1776060218234671028;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715085;1776060218209147056;1776060218234628095;efc6074ddc60;5;1
$1;1776060218237435281;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715085;1776060218138684435;1776060218237417549;efc6074ddc60;0;0
$1;1776060218242806814;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715084;1776060218128411319;1776060218242792947;efc6074ddc60;0;0
$1;1776060218607902709;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715086;1776060218594831999;1776060218607852494;efc6074ddc60;1;1
$1;1776060218630227054;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715086;1776060218608020353;1776060218630194721;efc6074ddc60;2;1
$1;1776060218667163963;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715086;1776060218630353639;1776060218667120749;efc6074ddc60;5;1
$1;1776060218690815422;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715086;1776060218594811494;1776060218690749234;efc6074ddc60;0;0
$1;1776060218760333666;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715087;1776060218727685785;1776060218760300726;efc6074ddc60;1;1
$1;1776060218779314708;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715087;1776060218760608480;1776060218779281776;efc6074ddc60;2;1
