$0;1776115599980614929;1.15-SNAPSHOT;KIEKER;432856254ba9;1;false;0;NANOSECONDS;0
$1;1776115745570267162;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359763;1776115745515684700;1776115745570234304;432856254ba9;1;1
$1;1776115745584791950;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7377881352051359763;1776115745570384081;1776115745584765195;432856254ba9;2;1
$1;1776115745602342752;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7377881352051359763;1776115745584872385;1776115745602314162;432856254ba9;5;1
$1;1776115745604263914;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7377881352051359763;1776115745515657920;1776115745604252246;432856254ba9;0;0
$1;1776115745830775183;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359765;1776115745804698738;1776115745830739348;432856254ba9;1;1
$1;1776115745875682216;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359764;1776115745803669520;1776115745875635496;432856254ba9;1;1
$1;1776115745914731765;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7377881352051359765;1776115745830869937;1776115745914696978;432856254ba9;2;1
$1;1776115745915468090;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7377881352051359764;1776115745875839615;1776115745915456206;432856254ba9;2;1
$1;1776115745961139534;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7377881352051359765;1776115745917305112;1776115745961087693;432856254ba9;5;1
$1;1776115745980203141;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7377881352051359764;1776115745915713875;1776115745980162461;432856254ba9;5;1
$1;1776115745987253993;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7377881352051359764;1776115745803638532;1776115745987226101;432856254ba9;0;0
$1;1776115746012197243;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7377881352051359765;1776115745804669519;1776115746012165861;432856254ba9;0;0
$1;1776115746104496004;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359766;1776115746051188326;1776115746104464048;432856254ba9;1;1
