$0;1776121778768531003;1.15-SNAPSHOT;KIEKER;71fd97f4c5ea;1;false;0;NANOSECONDS;0
$1;1776121904511040480;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335821;1776121904500216735;1776121904511018700;71fd97f4c5ea;1;1
$1;1776121904530849475;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335821;1776121904511119458;1776121904530825368;71fd97f4c5ea;2;1
$1;1776121904767555359;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335822;1776121904725012600;1776121904767532987;71fd97f4c5ea;1;1
$1;1776121904780548376;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335822;1776121904767633219;1776121904780527253;71fd97f4c5ea;2;1
$1;1776121904799288954;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335823;1776121904727459985;1776121904799263332;71fd97f4c5ea;1;1
$1;1776121904856594205;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335823;1776121904801699613;1776121904856552098;71fd97f4c5ea;2;1
$1;1776121904906610310;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;5441052037305335824;1776121904857824156;1776121904906584703;71fd97f4c5ea;1;1
$1;1776121904998359082;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;5441052037305335821;1776121904532957320;1776121904998318464;71fd97f4c5ea;5;1
$1;1776121905014994065;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;5441052037305335821;1776121904500183525;1776121905014958382;71fd97f4c5ea;0;0
$1;1776121905095445030;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;5441052037305335824;1776121904907050297;1776121905095422338;71fd97f4c5ea;2;1
