$0;1776135780121573871;1.15-SNAPSHOT;KIEKER;7fc98c33473d;1;false;0;NANOSECONDS;0
$1;1776135861085228514;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374283;1776135861067261512;1776135861085195480;7fc98c33473d;2;1
$1;1776135861107284139;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374283;1776135861085334318;1776135861107255861;7fc98c33473d;5;1
$1;1776135861119857149;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374283;1776135861051201702;1776135861119822819;7fc98c33473d;0;0
$1;1776135861360357315;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374284;1776135861341968615;1776135861360233847;7fc98c33473d;1;1
$1;1776135861380461258;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374285;1776135861348215867;1776135861380414161;7fc98c33473d;1;1
$1;1776135861382961065;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374284;1776135861360745290;1776135861382940220;7fc98c33473d;2;1
$1;1776135861403619302;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374284;1776135861383274254;1776135861403584230;7fc98c33473d;5;1
$1;1776135861407064877;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374285;1776135861380633572;1776135861407048239;7fc98c33473d;2;1
$1;1776135861416988232;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374284;1776135861341942451;1776135861416962537;7fc98c33473d;0;0
$1;1776135861426088992;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374285;1776135861407484201;1776135861426069797;7fc98c33473d;5;1
$1;1776135861428093438;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374285;1776135861348196200;1776135861428081427;7fc98c33473d;0;0
$1;1776135861607589331;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374286;1776135861589255724;1776135861607534969;7fc98c33473d;1;1
$1;1776135861619195607;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374286;1776135861607687785;1776135861619152884;7fc98c33473d;2;1
$1;1776135861635901764;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374286;1776135861619710888;1776135861635867538;7fc98c33473d;5;1
$1;1776135861638074733;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374286;1776135861589219038;1776135861638063181;7fc98c33473d;0;0
$1;1776135861799561627;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6695445271016374287;1776135861725842433;1776135861799512778;7fc98c33473d;1;1
$1;1776135861852055244;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6695445271016374287;1776135861800346533;1776135861852019666;7fc98c33473d;2;1
$1;1776135861905562431;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6695445271016374287;1776135861855784104;1776135861905531961;7fc98c33473d;5;1
$1;1776135861923397783;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6695445271016374287;1776135861725802253;1776135861923357393;7fc98c33473d;0;0
