$0;1776124909198155367;1.15-SNAPSHOT;KIEKER;3390ce98c47b;1;false;0;NANOSECONDS;0
$1;1776125033976660266;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960076;1776125033930572757;1776125033976632739;3390ce98c47b;5;1
$1;1776125033979445161;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960076;1776125033871520283;1776125033979424559;3390ce98c47b;0;0
$1;1776125034007062386;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960075;1776125033954106444;1776125034007033655;3390ce98c47b;5;1
$1;1776125034011011555;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960075;1776125033868212832;1776125034010980426;3390ce98c47b;0;0
$1;1776125034598486062;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960078;1776125034562875620;1776125034598441455;3390ce98c47b;1;1
$1;1776125034599097521;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960077;1776125034552400248;1776125034599083224;3390ce98c47b;1;1
$1;1776125034614940112;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960077;1776125034599157181;1776125034614916832;3390ce98c47b;2;1
$1;1776125034634299360;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960077;1776125034615030150;1776125034634276360;3390ce98c47b;5;1
$1;1776125034634299476;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7281476172527960078;1776125034598565558;1776125034634281456;3390ce98c47b;2;1
$1;1776125034691985572;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960077;1776125034552346596;1776125034691959278;3390ce98c47b;0;0
$1;1776125034754867367;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7281476172527960078;1776125034634374318;1776125034754832689;3390ce98c47b;5;1
$1;1776125034762170815;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7281476172527960078;1776125034562853825;1776125034757369615;3390ce98c47b;0;0
$1;1776125034871677726;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7281476172527960079;1776125034813950497;1776125034871646353;3390ce98c47b;1;1
