$0;1776123251299619226;1.15-SNAPSHOT;KIEKER;1857f8fc5c39;1;false;0;NANOSECONDS;0
$1;1776123380160506551;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690635;1776123380028686021;1776123380160482547;1857f8fc5c39;1;1
$1;1776123380200811263;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690634;1776123380116147003;1776123380200770875;1857f8fc5c39;5;1
$1;1776123380216106147;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690634;1776123379976132373;1776123380216061671;1857f8fc5c39;0;0
$1;1776123380276852290;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690636;1776123380091982986;1776123380276818153;1857f8fc5c39;2;1
$1;1776123380284376293;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690635;1776123380160891013;1776123380284354284;1857f8fc5c39;2;1
$1;1776123380323387516;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690636;1776123380276979862;1776123380323348871;1857f8fc5c39;5;1
$1;1776123380326587860;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690635;1776123380284445594;1776123380326561219;1857f8fc5c39;5;1
$1;1776123380330033130;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690635;1776123380028662572;1776123380330012915;1857f8fc5c39;0;0
$1;1776123380353402371;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690636;1776123380030283467;1776123380353358806;1857f8fc5c39;0;0
$1;1776123380568052637;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690637;1776123380551846971;1776123380568009061;1857f8fc5c39;1;1
$1;1776123380587142135;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690637;1776123380568851477;1776123380587108238;1857f8fc5c39;2;1
$1;1776123380603590711;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690637;1776123380588653478;1776123380603566712;1857f8fc5c39;5;1
$1;1776123380605433735;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690637;1776123380551814808;1776123380605421344;1857f8fc5c39;0;0
