$0;1776129017485337527;1.15-SNAPSHOT;KIEKER;1374ad4ea4b0;1;false;0;NANOSECONDS;0
$1;1776129146216139097;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;9021695216041590806;1776129146055604022;1776129146216103373;1374ad4ea4b0;0;0
$1;1776129146385918275;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590807;1776129146317659646;1776129146385892846;1374ad4ea4b0;1;1
$1;1776129146414192400;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590808;1776129146385846579;1776129146414161200;1374ad4ea4b0;1;1
$1;1776129146489117865;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590807;1776129146386024044;1776129146489086957;1374ad4ea4b0;2;1
$1;1776129146498024130;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590808;1776129146414290890;1776129146498000053;1374ad4ea4b0;2;1
$1;1776129146525942435;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590808;1776129146498091809;1776129146525920856;1374ad4ea4b0;5;1
$1;1776129146529533065;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;9021695216041590808;1776129146385806389;1776129146529515001;1374ad4ea4b0;0;0
$1;1776129146553334321;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590807;1776129146489232219;1776129146553307659;1374ad4ea4b0;5;1
$1;1776129146555778993;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;9021695216041590807;1776129146317629271;1776129146555750018;1374ad4ea4b0;0;0
$1;1776129146622735150;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590809;1776129146606070677;1776129146622666217;1374ad4ea4b0;1;1
$1;1776129146670052716;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590809;1776129146622892579;1776129146670032717;1374ad4ea4b0;2;1
$1;1776129146702702016;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590809;1776129146670153319;1776129146702677388;1374ad4ea4b0;5;1
$1;1776129146772949563;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;9021695216041590809;1776129146606022300;1776129146772922743;1374ad4ea4b0;0;0
$1;1776129146878513528;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590810;1776129146774356203;1776129146878486608;1374ad4ea4b0;1;1
$1;1776129146902520605;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590810;1776129146878907997;1776129146902498593;1374ad4ea4b0;2;1
$1;1776129146921005605;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590810;1776129146902955151;1776129146920983365;1374ad4ea4b0;5;1
