$0;1776133286101629784;1.15-SNAPSHOT;KIEKER;5e6e85f09b73;1;false;0;NANOSECONDS;0
$1;1776133356930694672;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124235;1776133356917397502;1776133356930670250;5e6e85f09b73;1;1
$1;1776133356958469584;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124235;1776133356930778299;1776133356958440184;5e6e85f09b73;2;1
$1;1776133356977850330;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3125498141395124235;1776133356958601440;1776133356977813550;5e6e85f09b73;5;1
$1;1776133356985673529;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3125498141395124235;1776133356917371607;1776133356985635078;5e6e85f09b73;0;0
$1;1776133357167210158;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124237;1776133357139281088;1776133357167171208;5e6e85f09b73;1;1
$1;1776133357223280460;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124236;1776133357138784762;1776133357223237272;5e6e85f09b73;1;1
$1;1776133357224406167;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124237;1776133357167312196;1776133357224391828;5e6e85f09b73;2;1
$1;1776133357254952440;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3125498141395124237;1776133357224491989;1776133357254925850;5e6e85f09b73;5;1
$1;1776133357257345265;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124236;1776133357223373225;1776133357257330798;5e6e85f09b73;2;1
$1;1776133357258878319;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3125498141395124237;1776133357139240585;1776133357258864741;5e6e85f09b73;0;0
$1;1776133357272336524;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3125498141395124236;1776133357259176825;1776133357272313537;5e6e85f09b73;5;1
$1;1776133357274551829;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3125498141395124236;1776133357138763714;1776133357274539223;5e6e85f09b73;0;0
$1;1776133357632922595;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3125498141395124238;1776133357605852811;1776133357632887292;5e6e85f09b73;1;1
$1;1776133357673592290;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3125498141395124238;1776133357633040630;1776133357673542760;5e6e85f09b73;2;1
