$0;1776122142362087434;1.15-SNAPSHOT;KIEKER;6b5b030c8ee1;1;false;0;NANOSECONDS;0
$1;1776122268156894925;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649993;1776122268132034064;1776122268156867093;6b5b030c8ee1;2;1
$1;1776122268176293088;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649993;1776122268156981095;1776122268176270714;6b5b030c8ee1;5;1
$1;1776122268179439693;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649993;1776122268120599079;1776122268179426034;6b5b030c8ee1;0;0
$1;1776122269227481899;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649995;1776122269114901124;1776122269227448931;6b5b030c8ee1;1;1
$1;1776122269299811654;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649996;1776122269117993113;1776122269299784507;6b5b030c8ee1;1;1
$1;1776122269302267477;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649995;1776122269227577627;1776122269302243498;6b5b030c8ee1;2;1
$1;1776122269374926791;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649994;1776122269114568956;1776122269374892925;6b5b030c8ee1;1;1
$1;1776122269378289060;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649995;1776122269302324918;1776122269378264799;6b5b030c8ee1;5;1
$1;1776122269390831148;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649996;1776122269299894158;1776122269390794956;6b5b030c8ee1;2;1
$1;1776122269404389223;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649995;1776122269114884766;1776122269403685212;6b5b030c8ee1;0;0
$1;1776122269421417497;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649996;1776122269395592256;1776122269421386181;6b5b030c8ee1;5;1
$1;1776122269424888798;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649994;1776122269375043557;1776122269424871321;6b5b030c8ee1;2;1
