$0;1776132976121012394;1.15-SNAPSHOT;KIEKER;b8e2aad6759c;1;false;0;NANOSECONDS;0
$1;1776133052591312915;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7522700227568992268;1776133052457998910;1776133052591286427;b8e2aad6759c;0;0
$1;1776133052939444279;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992270;1776133052927451911;1776133052939418101;b8e2aad6759c;1;1
$1;1776133052952581393;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992270;1776133052939829632;1776133052952550897;b8e2aad6759c;2;1
$1;1776133052971454740;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992270;1776133052953194738;1776133052971427345;b8e2aad6759c;5;1
$1;1776133052975043159;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7522700227568992270;1776133052927422334;1776133052975029584;b8e2aad6759c;0;0
$1;1776133053076522639;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992271;1776133053058647857;1776133053076484056;b8e2aad6759c;1;1
$1;1776133053110278016;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992271;1776133053076638390;1776133053110244151;b8e2aad6759c;2;1
$1;1776133053134933898;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992271;1776133053110398125;1776133053134909905;b8e2aad6759c;5;1
$1;1776133053137231455;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7522700227568992271;1776133053058608144;1776133053137219042;b8e2aad6759c;0;0
$1;1776133053199607472;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992272;1776133053186505235;1776133053199585486;b8e2aad6759c;1;1
$1;1776133053286234780;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992272;1776133053200028210;1776133053286190031;b8e2aad6759c;2;1
$1;1776133053300322703;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992272;1776133053286306527;1776133053300299440;b8e2aad6759c;5;1
$1;1776133053302290963;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7522700227568992272;1776133053186469837;1776133053302277865;b8e2aad6759c;0;0
$1;1776133053351365676;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992273;1776133053329686277;1776133053351327783;b8e2aad6759c;1;1
$1;1776133053365885942;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992273;1776133053351497559;1776133053365844329;b8e2aad6759c;2;1
$1;1776133053391160157;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992273;1776133053366017162;1776133053391093287;b8e2aad6759c;5;1
$1;1776133053394476940;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7522700227568992273;1776133053329664667;1776133053394459303;b8e2aad6759c;0;0
$1;1776133053572431181;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992274;1776133053564092038;1776133053572408224;b8e2aad6759c;1;1
$1;1776133053625177905;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992274;1776133053572786068;1776133053625151178;b8e2aad6759c;2;1
