$0;1776138586916638340;1.15-SNAPSHOT;KIEKER;ff63fb3914ef;1;false;0;NANOSECONDS;0
$1;1776138710472018661;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962378;1776138710359290350;1776138710471961413;ff63fb3914ef;2;1
$1;1776138710618632941;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962378;1776138710472498351;1776138710618592352;ff63fb3914ef;5;1
$1;1776138710625599423;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962379;1776138710407124702;1776138710625580178;ff63fb3914ef;2;1
$1;1776138710671747147;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962378;1776138710310186983;1776138710671719372;ff63fb3914ef;0;0
$1;1776138710697759437;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962379;1776138710625668594;1776138710697718583;ff63fb3914ef;5;1
$1;1776138710709507194;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962379;1776138710321579431;1776138710709466057;ff63fb3914ef;0;0
$1;1776138710875299541;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4916101205739962380;1776138710819015123;1776138710875272294;ff63fb3914ef;1;1
$1;1776138710909820838;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4916101205739962380;1776138710875902601;1776138710909789990;ff63fb3914ef;2;1
$1;1776138710957228914;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4916101205739962380;1776138710910330495;1776138710957203123;ff63fb3914ef;5;1
$1;1776138710975897288;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4916101205739962380;1776138710818993460;1776138710975843112;ff63fb3914ef;0;0
