$0;1776116347219484892;1.15-SNAPSHOT;KIEKER;38c6a10fa73b;1;false;0;NANOSECONDS;0
$1;1776116473982122482;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8343903472122331151;1776116473896291235;1776116473982084622;38c6a10fa73b;0;0
$1;1776116473984219589;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8343903472122331152;1776116473923755146;1776116473984193268;38c6a10fa73b;2;1
$1;1776116474008549988;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8343903472122331152;1776116473984339087;1776116474008506615;38c6a10fa73b;5;1
$1;1776116474011537021;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8343903472122331152;1776116473898847741;1776116474011516314;38c6a10fa73b;0;0
$1;1776116474218841777;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8343903472122331153;1776116474201686080;1776116474218818025;38c6a10fa73b;1;1
$1;1776116474237619069;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8343903472122331153;1776116474218917688;1776116474237588540;38c6a10fa73b;2;1
$1;1776116474249196589;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8343903472122331153;1776116474237718112;1776116474249148909;38c6a10fa73b;5;1
$1;1776116474251587630;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8343903472122331153;1776116474201665662;1776116474251568107;38c6a10fa73b;0;0
$1;1776116474546179924;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8343903472122331154;1776116474533707764;1776116474546156285;38c6a10fa73b;1;1
$1;1776116474558600061;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8343903472122331154;1776116474546254600;1776116474558572710;38c6a10fa73b;2;1
$1;1776116474572329820;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8343903472122331154;1776116474559002896;1776116474572184775;38c6a10fa73b;5;1
$1;1776116474576011410;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8343903472122331154;1776116474533681844;1776116474575986203;38c6a10fa73b;0;0
$1;1776116474732215879;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8343903472122331155;1776116474722601262;1776116474732185257;38c6a10fa73b;1;1
$1;1776116474751756237;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8343903472122331155;1776116474732559157;1776116474751724267;38c6a10fa73b;2;1
$1;1776116474757455108;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8343903472122331156;1776116474745078289;1776116474757435770;38c6a10fa73b;1;1
$1;1776116474770205214;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8343903472122331156;1776116474757517193;1776116474770173424;38c6a10fa73b;2;1
