$0;1776111449606733853;1.15-SNAPSHOT;KIEKER;f0fdca49a211;1;false;0;NANOSECONDS;0
$1;1776111572809166708;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906953;1776111570900012110;1776111572809133617;f0fdca49a211;0;0
$1;1776111572856208849;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906960;1776111572705448046;1776111572856176486;f0fdca49a211;2;1
$1;1776111572885457057;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906955;1776111572585287660;1776111572885420610;f0fdca49a211;2;1
$1;1776111572913348783;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906959;1776111572711053493;1776111572913310892;f0fdca49a211;5;1
$1;1776111572923544975;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906958;1776111572711128053;1776111572923509128;f0fdca49a211;5;1
$1;1776111572929046038;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906959;1776111572257772323;1776111572929016411;f0fdca49a211;0;0
$1;1776111572932811590;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906958;1776111572119839994;1776111572932786055;f0fdca49a211;0;0
$1;1776111572963963916;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906961;1776111572850545699;1776111572963921974;f0fdca49a211;1;1
$1;1776111573018967973;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906961;1776111572964071363;1776111573018625122;f0fdca49a211;2;1
$1;1776111573033780823;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906962;1776111572920543895;1776111573033745092;f0fdca49a211;1;1
$1;1776111573048969646;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906957;1776111572598302992;1776111573048949552;f0fdca49a211;2;1
