$0;1776137497199719098;1.15-SNAPSHOT;KIEKER;1f8fd1d935df;1;false;0;NANOSECONDS;0
$1;1776137621528212344;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677129;1776137621511578491;1776137621528146092;1f8fd1d935df;2;1
$1;1776137621550230898;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677129;1776137621528608071;1776137621550201645;1f8fd1d935df;5;1
$1;1776137621553671156;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677129;1776137621495830729;1776137621553649743;1f8fd1d935df;0;0
$1;1776137622273253227;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677130;1776137622253177643;1776137622273218268;1f8fd1d935df;1;1
$1;1776137622288106722;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677130;1776137622273815015;1776137622288073788;1f8fd1d935df;2;1
$1;1776137622302043720;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677130;1776137622288696190;1776137622302013825;1f8fd1d935df;5;1
$1;1776137622306434084;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677130;1776137622253136410;1776137622306408169;1f8fd1d935df;0;0
$1;1776137622362638898;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677131;1776137622340364507;1776137622362610547;1f8fd1d935df;1;1
$1;1776137622384057627;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677131;1776137622362734233;1776137622384034908;1f8fd1d935df;2;1
$1;1776137622394476651;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677132;1776137622341519527;1776137622394429627;1f8fd1d935df;1;1
$1;1776137622416535912;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677132;1776137622394585912;1776137622416513834;1f8fd1d935df;2;1
